"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"3113 Elektrotechnici a technici energetici";18.0858;33282.0452;19321.3508;24420.0899;44194.3951;54551.9179;35765.0593;17.15;4.88;6.58;170.4568;"3113";"Elektrotechnici a technici energetici"
"3114 Technici elektronici";7.9911;33159.8676;19993.9558;26410.8568;43707.8852;55298.3371;36807.4974;17.4;2.22;6.34;172.6676;"3114";"Technici elektronici"
"3115 Strojirensti technici";47.1499;30533.787;18790.659;24334.0853;39121.009;51022.404;33201.0228;16.62;2.15;5.82;171.8125;"3115";"Strojirensti technici"
"3116 Technici v chemickem inzenyrstvi a prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)";9.523;28272.0409;18714.0771;21670.5218;36777.2472;47280.7962;31213.8129;17.8;2.65;6.39;169.7902;"3116";"Technici v chemickem inzenyrstvi a prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)"
"3117 Dulni, hutni, slevarensti technici ";2.2717;37038.2734;25037.8805;30060.9854;43378.8273;52986.6014;38348.7585;18.7;7.78;7.96;165.9584;"3117";"Dulni, hutni, slevarensti technici "
"3119 Technici v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";19.7022;29907.5379;17896.1723;22784.3054;38616.6352;49633.5135;32671.6225;17.52;2.15;6.49;171.0124;"3119";"Technici v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)"
"3121 Mistri a pribuzni pracovnici v oblasti tezby, hutni vyroby a slevarenstvi";2.0777;37867.7908;27959.2779;33041.7746;43750.3249;49112.7389;39337.2016;20.97;9.49;8.41;168.9552;"3121";"Mistri a pribuzni pracovnici v oblasti tezby, hutni vyroby a slevarenstvi"
"3122 Mistri a pribuzni pracovnici ve vyrobe (krome hutni vyroby a slevarenstvi)";44.1474;31980.6948;19714.432;25647.4813;41042.1269;51832.3102;34565.8979;16.89;4.07;6.47;172.8503;"3122";"Mistri a pribuzni pracovnici ve vyrobe (krome hutni vyroby a slevarenstvi)"
"3123 Mistri a pribuzni pracovnici ve stavebnictvi";7.8606;24310.0084;14604.2311;18853.0873;34827.2081;44200.8084;27973.3954;15.55;1.49;7.03;174.9863;"3123";"Mistri a pribuzni pracovnici ve stavebnictvi"
"3131 Operatori velinu na vyrobu a rozvod elektricke energie a tepla";0.3259;36782.755;24632.8627;26185.4988;47048.6385;61581.1113;40067.9206;18.32;11.08;7.33;166.588;"3131";"Operatori velinu na vyrobu a rozvod elektricke energie a tepla"
"3139 Operatori velinu montaznich linek, vyroby papiru, celulózy a jinych velinu";0.2391;29579.3228;22185.2919;24317.7794;36221.5312;41782.8195;31630.8;12.8;12.54;7.42;171.4886;"3139";"Operatori velinu montaznich linek, vyroby papiru, celulózy a jinych velinu"
