"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani";"Dataset"
"99";"3331 Odbytovi a prepravni agenti, celni deklaranti";9444;31428;19531;24519;40906;53085;35495;19.04;2;6.48;171.0498;"3331";"Odbytovi A Prepravni Agenti, Celni Deklaranti";"Soukroma sfera"
"100";"3333 Odborni pracovnici pracovnich agentur";473;15539;14138;15099;17377;22830;18129;13.74;0.46;7.89;171.2371;"3333";"Odborni Pracovnici Pracovnich Agentur";"Soukroma sfera"
"101";"3339 Obchodni,reklamacni referenti,pracovnici propagace,reklamy,ostatni zprostredkovatele";36139;26073;14020;19769;34837;48739;30039;18.29;1.04;6.41;171.3177;"3339";"Obchodni,reklamacni Referenti,pracovnici Propagace,reklamy,ostatni Zprostredkovatele";"Soukroma sfera"
"102";"3341 Vedouci v oblasti administrativnich agend";8599;33364;21987;26243;47139;69456;42120;19.51;2.29;6.75;171.1718;"3341";"Vedouci V Oblasti Administrativnich Agend";"Soukroma sfera"
"103";"3342 Odborni administrativni pracovnici v pravni oblasti";1320;29254;16885;22903;35319;42200;30785;16.29;1.03;5.99;170.9558;"3342";"Odborni Administrativni Pracovnici V Pravni Oblasti";"Soukroma sfera"
"104";"3343 Odborni pracovnici v administrative a sprave organizace";46386;27069;16458;20837;35672;46774;30466;15.28;1.67;6.68;171.6535;"3343";"Odborni Pracovnici V Administrative A Sprave Organizace";"Soukroma sfera"
"105";"3344 Odborni administrativni pracovnici v oblasti zdravotnictvi";480;20371;14269;17039;25034;34844;22517;6.66;3.73;6.37;172.7564;"3344";"Odborni Administrativni Pracovnici V Oblasti Zdravotnictvi";"Soukroma sfera"
"106";"3412 Odborni pracovnici v oblasti socialni prace";1658;19883;14145;17260;23013;26841;20616;7.42;2.51;5.64;172.6375;"3412";"Odborni Pracovnici V Oblasti Socialni Prace";"Soukroma sfera"
"107";"3432 Aranzeri a pribuzni pracovnici";3127;19055;10250;11681;23911;31603;19891;8.99;1.31;5.85;173.0927;"3432";"Aranzeri A Pribuzni Pracovnici";"Soukroma sfera"
"108";"3434 sefkuchari a sefcukrari";1055;22875;12090;15794;30347;43646;26312;15.47;2.77;5.25;174.9686;"3434";"Sefkuchari A Sefcukrari";"Soukroma sfera"
"109";"3511 Technici provozu ICT, technici programatori";12842;30895;13514;20712;46036;70655;37837;16.79;4.11;5.76;173.8419;"3511";"Technici Provozu ICT, Technici Programatori";"Soukroma sfera"
"110";"3512 Technici uzivatelske podpory informacnich a komunikacnich technologii";9544;35485;17987;25657;46686;67609;40311;10.62;3.61;6.44;172.692;"3512";"Technici Uzivatelske Podpory Informacnich A Komunikacnich Technologii";"Soukroma sfera"
"111";"3513 Technici pocitacovych siti a systemu";4668;36365;18998;25340;46235;61893;39152;15.69;3.72;5.87;172.1626;"3513";"Technici Pocitacovych Siti A Systemu";"Soukroma sfera"
"112";"3521 Technici v oblasti vysilani a audiovizualnich zaznamu";1397;31192;21724;26634;36365;41984;32180;4.5;10.98;6.38;171.1478;"3521";"Technici V Oblasti Vysilani A Audiovizualnich Zaznamu";"Soukroma sfera"
"113";"3522 Technici v oblasti telekomunikaci a radiokomunikaci";2243;29486;22838;23635;41606;62123;37123;14.47;5.35;5.23;175.0206;"3522";"Technici V Oblasti Telekomunikaci A Radiokomunikaci";"Soukroma sfera"
"114";"4110 Vseobecni administrativni pracovnici";64032;18958;10815;13021;25611;34907;21542;12.31;0.74;6.72;173.3535;"4110";"Vseobecni Administrativni Pracovnici";"Soukroma sfera"
"115";"4120 Sekretari (vseobecni)";20808;20621;11862;15518;26998;34863;22757;12.38;0.94;6.94;173.0315;"4120";"Sekretari (vseobecni)";"Soukroma sfera"
"116";"4132 Pracovnici pro zadavani dat";4748;23297;16174;19253;29570;38371;25949;12.57;1.82;7.49;172.4578;"4132";"Pracovnici Pro Zadavani Dat";"Soukroma sfera"
